Manufacturing Method,Material,mass constraint,cost constraint,time constraint,mass,compliance,nominal time,nominal cost
Additive y+,Al6061,0.5,500.0,500.0,0.1818945,1.5005193e-07,253.30956,500.53137
Subtractive x+,Al6061,0.5,500.0,500.0,0.5001596,4.711999e-08,150.01727,378.36957
Additive y+,Ti6Al4V,0.5,500.0,500.0,0.16489778,2.1932041e-07,235.46864,501.92334
Subtractive x+,Ti6Al4V,0.5,500.0,500.0,infeasible,infeasible,infeasible,infeasible
Subtractive x+,ABSplastic,0.5,500.0,500.0,0.4341718,9.183697e-07,115.00065,270.8703
Additive y+,ABSplastic,0.5,500.0,500.0,0.19785814,1.4454504e-06,269.85504,500.10983
Additive y+,Al6061,0.2,500.0,500.0,0.18190639,1.4872141e-07,253.31306,500.53906
Subtractive x+,Al6061,0.2,500.0,500.0,0.20028976,1.3095729e-07,167.3519,430.3734
Subtractive x+,Ti6Al4V,0.2,500.0,500.0,infeasible,infeasible,infeasible,infeasible
Additive y+,Ti6Al4V,0.2,500.0,500.0,0.16492654,2.1817648e-07,235.44087,501.8559
Subtractive x+,ABSplastic,0.2,500.0,500.0,0.20005782,1.386645e-06,151.18977,379.43768
Additive y+,ABSplastic,0.2,500.0,500.0,0.19777022,1.4307609e-06,269.85205,500.10382
Additive y+,Al6061,100.0,5000.0,5000.0,1.1059093,3.0631814e-08,1175.9093,2516.4119
Subtractive x+,Al6061,100.0,5000.0,5000.0,1.1059093,3.0633494e-08,115.00062,273.31958
Subtractive x+,Ti6Al4V,100.0,5000.0,5000.0,1.8145105,1.8261693e-08,115.00603,451.4709
Additive y+,Ti6Al4V,100.0,5000.0,5000.0,1.8145105,1.8261996e-08,1884.5104,4507.446
Subtractive x+,ABSplastic,100.0,5000.0,5000.0,0.4341718,9.185173e-07,115.00065,270.8703
Additive y+,ABSplastic,100.0,5000.0,5000.0,0.4341718,9.184917e-07,504.17178,969.2119
Additive y+,Al6061,0.2,300.0,300.0,0.09188488,4.2252006e-07,162.28824,301.6498
Subtractive x+,Al6061,0.2,300.0,300.0,infeasible,infeasible,infeasible,infeasible
Subtractive x+,Ti6Al4V,0.2,300.0,300.0,infeasible,infeasible,infeasible,infeasible
Additive y+,Ti6Al4V,0.2,300.0,300.0,0.08579237,1.1752742e-06,156.19955,309.37872
Subtractive x+,ABSplastic,0.2,300.0,300.0,infeasible,infeasible,infeasible,infeasible
Additive y+,ABSplastic,0.2,300.0,300.0,0.099508114,2.911187e-06,170.00247,300.20496
