Manufacturing Method,Material,mass low,mass high,comp low,comp high,time low,time high,cost low,cost high
Additive y+,Al6061,55.296010546875,1105.92,3.0626029712266245e-08,1.2255421097506767e-05,126.9548797607422,1209.0975341796875,224.4464111328125,2588.92822265625
Subtractive x+,Al6061,55.296010546875,1105.92,3.0622597790852524e-08,1.225539108418161e-05,115.0,175.7335662841797,273.3177490234375,455.5184631347656
EDM z,Al6061,55.296010546875,1105.92,3.0624342173268815e-08,1.2255398360139225e-05,55.0,281.1764874103303,93.31776,998.0237096413214
Additive y+,Ti6Al4V,90.7264173046875,1814.528,1.8257058087556288e-08,7.303485290321987e-06,163.4481964111328,1938.963623046875,326.98565673828125,4639.712890625
Subtractive x+,Ti6Al4V,90.7264173046875,1814.528,1.8259168399481496e-08,7.30347665012232e-06,115.0,710.8958740234375,451.4528198242188,2239.140380859375
EDM z,Ti6Al4V,90.7264173046875,1814.528,1.8256701039831572e-08,7.303510301426286e-06,55.0,281.1764874103303,271.4528,1176.1587496413213
Subtractive x+,ABSplastic,21.708804140625,434.176,9.186795182358764e-07,0.0003672630118671,115.0,178.75880432128906,270.86834716796875,462.144775390625
Additive y+,ABSplastic,21.708804140625,434.176,9.185391149912904e-07,0.0003672652528621,92.3600616455078,517.2012329101562,144.7648468017578,995.296875
EDM z,ABSplastic,21.708804140625,434.176,9.18550711048738e-07,0.0003672652237582,55.0,281.1764874103303,90.868352,995.5743016413212
