Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
Additive ['y+'],Ti6Al4V,1.0,1814.5280000000002,0.01824278198182583,1938.963623046875,4639.712890625,Supplier-B,193896.38,463978.56
Additive ['y+'],Ti6Al4V,0.9,1633.0750615625,0.022521954029798508,1752.0673828125,4185.74169921875,Supplier-B,175206.73,418660.7
Additive ['y+'],Ti6Al4V,0.8,1451.622676875,0.02850434184074402,1565.171142578125,3731.770751953125,Supplier-B,156517.13,373242.84
Additive ['y+'],Ti6Al4V,0.7,1270.169323125,0.03723016753792763,1378.2745361328125,3277.798828125,Supplier-B,137827.45,327824.97
Additive ['y+'],Ti6Al4V,0.6,1088.7166615625,0.05067439004778862,1191.3782958984375,2823.827880859375,Supplier-B,119137.82,282407.13
Additive ['y+'],Ti6Al4V,0.5,907.2640000000001,0.07297112792730331,1004.4818115234375,2369.8564453125,Supplier-B,100448.2,236989.28
Additive ['y+'],Ti6Al4V,0.4,725.8113384375,0.11401738226413727,817.5855712890625,1915.8853759765625,Supplier-B,81758.57,191671.42
Additive ['y+'],Ti6Al4V,0.3,544.35833078125,0.20269756019115448,630.6891479492188,1461.9139404296875,Supplier-B,63068.92,146253.56
Additive ['y+'],Ti6Al4V,0.2,362.90566921875,0.4560695290565491,443.79278564453125,1007.9426879882812,Supplier-B,44379.28,100835.71
Additive ['y+'],Ti6Al4V,0.1,181.452834609375,1.8242781162261963,256.8963928222656,553.9713134765625,Supplier-B,25689.65,55417.86
Additive ['y+'],Ti6Al4V,0.05,90.7264173046875,7.297112941741943,163.4481964111328,326.98565673828125,Supplier-B,16344.83,32708.93
Additive ['y+'],Ti6Al4V,0.01,18.145277836914065,182.42784118652344,88.68963623046875,145.39712524414062,Supplier-B,8868.97,14601.78
Additive ['y+'],Ti6Al4V,0.005,9.072638918457033,729.7113037109375,79.34481811523438,122.69856262207031,Supplier-B,7934.48,12300.89
