Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
Additive ['y+'],Ti6Al4V,1.0,79740.00000000001,0.00020438079081941396,82202.1875,199599.09375,Supplier-B,82202.18,199599.72
Additive ['y+'],Ti6Al4V,0.9,71765.99134765627,0.0002523219445720315,73988.96875,179649.171875,Supplier-B,73988.97,179649.23
Additive ['y+'],Ti6Al4V,0.8,63792.008652343764,0.0003193449229001999,65775.7578125,159699.28125,Supplier-B,65775.77,159699.78
Additive ['y+'],Ti6Al4V,0.7,55817.99134765626,0.00041710358345881104,57562.53515625,139749.375,Supplier-B,57562.53,139750.3
Additive ['y+'],Ti6Al4V,0.6,47844.00000000001,0.0005677242879755795,49349.3203125,119799.46875,Supplier-B,49349.33,119799.83
Additive ['y+'],Ti6Al4V,0.5,39870.00000000001,0.0008175229304470122,41136.09375,99849.546875,Supplier-B,41136.1,99850.36
Additive ['y+'],Ti6Al4V,0.4,31896.004326171882,0.0012773796916007996,32922.87890625,79899.640625,Supplier-B,32922.88,79899.89
Additive ['y+'],Ti6Al4V,0.3,23922.000000000004,0.002270897151902318,24709.66015625,59949.734375,Supplier-B,24709.67,59950.42
Additive ['y+'],Ti6Al4V,0.2,15948.002163085941,0.005109518766403198,16496.439453125,39999.8203125,Supplier-B,16496.45,39999.94
Additive ['y+'],Ti6Al4V,0.1,7974.0010815429705,0.020438076928257942,8283.2197265625,20049.91015625,Supplier-B,8283.23,20050.47
Additive ['y+'],Ti6Al4V,0.05,3987.0005407714852,0.08175230771303177,4176.60986328125,10074.955078125,Supplier-B,4176.62,10075.74
Additive ['y+'],Ti6Al4V,0.01,797.4000000000002,2.0438079833984375,891.3218383789062,2094.99072265625,Supplier-B,891.33,2095.35
Additive ['y+'],Ti6Al4V,0.005,398.7000000000001,8.17523193359375,480.6609191894531,1097.495361328125,Supplier-B,480.67,1098.17
